challenge_id,download_link,has_data,games_count,players
QkscPigLol9oUew6,https://www.geoguessr.com/challenge/QkscPigLol9oUew6,Yes,5,5
wmR94RiR8ARwVuG3,https://www.geoguessr.com/challenge/wmR94RiR8ARwVuG3,Yes,4,4
ABRu74IYm3dG6X7K,https://www.geoguessr.com/challenge/ABRu74IYm3dG6X7K,Yes,4,4
KHrIRlKYorzyUoFa,https://www.geoguessr.com/challenge/KHrIRlKYorzyUoFa,Yes,3,3
PIk8mfrA2nk1gknx,https://www.geoguessr.com/challenge/PIk8mfrA2nk1gknx,Yes,3,3
pAdtFnohxVnAUDQ3,https://www.geoguessr.com/challenge/pAdtFnohxVnAUDQ3,Yes,4,4
nji802nPmaURn4CW,https://www.geoguessr.com/challenge/nji802nPmaURn4CW,Yes,4,4
Ph31tUoABpm8AFPm,https://www.geoguessr.com/challenge/Ph31tUoABpm8AFPm,Yes,4,4
0fDfb1x8WDk8ouSz,https://www.geoguessr.com/challenge/0fDfb1x8WDk8ouSz,Yes,3,3
5JWg7mvpxTmRVY6q,https://www.geoguessr.com/challenge/5JWg7mvpxTmRVY6q,Yes,4,4
"0r4C=
t23k8J00pHTI","https://www.geoguessr.com/challenge/0r4C=
t23k8J00pHTI",No,0,0
5E3DxmMNaSfz7HyI,https://www.geoguessr.com/challenge/5E3DxmMNaSfz7HyI,No,0,0
"5JWg7m=
vpxTmRVY6q","https://www.geoguessr.com/challenge/5JWg7m=
vpxTmRVY6q",No,0,0
"5nQLOK=
DIT4oxA05W","https://www.geoguessr.com/challenge/5nQLOK=
DIT4oxA05W",No,0,0
5nQLOKDIT4oxA05W,https://www.geoguessr.com/challenge/5nQLOKDIT4oxA05W,No,0,0
6YSO9UOkfpXFVi6M,https://www.geoguessr.com/challenge/6YSO9UOkfpXFVi6M,No,0,0
"8c4FErcBJsA3Zq=
Sj","https://www.geoguessr.com/challenge/8c4FErcBJsA3Zq=
Sj",No,0,0
"=
PIk8mfrA2nk1gknx","https://www.geoguessr.com/challenge/=
PIk8mfrA2nk1gknx",No,0,0
"=
QkscPigLol9oUew6","https://www.geoguessr.com/challenge/=
QkscPigLol9oUew6",No,0,0
"=
R7hD4aaQJrKY1udO","https://www.geoguessr.com/challenge/=
R7hD4aaQJrKY1udO",No,0,0
"=
n4TXOVI3dcRT2Clq","https://www.geoguessr.com/challenge/=
n4TXOVI3dcRT2Clq",No,0,0
"=
nji802nPmaURn4CW","https://www.geoguessr.com/challenge/=
nji802nPmaURn4CW",No,0,0
"ABRu74IYm=
3dG6X7K","https://www.geoguessr.com/challenge/ABRu74IYm=
3dG6X7K",No,0,0
C81aDSysG68foHjE,https://www.geoguessr.com/challenge/C81aDSysG68foHjE,No,0,0
"CkHVqZUNI3N6HpxI=
","https://www.geoguessr.com/challenge/CkHVqZUNI3N6HpxI=
",No,0,0
IWp3KmJiXk06HCka,https://www.geoguessr.com/challenge/IWp3KmJiXk06HCka,No,0,0
"KHrIRlKYorzyU=
oFa","https://www.geoguessr.com/challenge/KHrIRlKYorzyU=
oFa",No,0,0
"M3kYVABfHkdq1=
nxh","https://www.geoguessr.com/challenge/M3kYVABfHkdq1=
nxh",No,0,0
MFh8HxHIRINxZG1Z,https://www.geoguessr.com/challenge/MFh8HxHIRINxZG1Z,No,0,0
MycQOYTYAHZr7wyW,https://www.geoguessr.com/challenge/MycQOYTYAHZr7wyW,No,0,0
"Ph31t=
UoABpm8AFPm","https://www.geoguessr.com/challenge/Ph31t=
UoABpm8AFPm",No,0,0
"Ph31tUoABpm=
8AFPm","https://www.geoguessr.com/challenge/Ph31tUoABpm=
8AFPm",No,0,0
"QkscP=
igLol9oUew6","https://www.geoguessr.com/challenge/QkscP=
igLol9oUew6",No,0,0
"ULXf4WjB16q20=
dfa","https://www.geoguessr.com/challenge/ULXf4WjB16q20=
dfa",No,0,0
ULXf4WjB16q20dfa,https://www.geoguessr.com/challenge/ULXf4WjB16q20dfa,No,0,0
c2SOLzuZu0LCjoM4,https://www.geoguessr.com/challenge/c2SOLzuZu0LCjoM4,No,0,0
"ffLBORTySS2=
juVyo","https://www.geoguessr.com/challenge/ffLBORTySS2=
juVyo",No,0,0
"ffLBORTySS2ju=
Vyo","https://www.geoguessr.com/challenge/ffLBORTySS2ju=
Vyo",No,0,0
"gR58=
tkAVnaZRRIoo","https://www.geoguessr.com/challenge/gR58=
tkAVnaZRRIoo",No,0,0
"gVr8B=
jgMw7OrUnwg","https://www.geoguessr.com/challenge/gVr8B=
jgMw7OrUnwg",No,0,0
"hXg=
kOhUx4SK6V7Ms","https://www.geoguessr.com/challenge/hXg=
kOhUx4SK6V7Ms",No,0,0
hwnZiPrShaCCDsyx,https://www.geoguessr.com/challenge/hwnZiPrShaCCDsyx,No,0,0
n4TXOVI3dcRT2Clq,https://www.geoguessr.com/challenge/n4TXOVI3dcRT2Clq,No,0,0
"nRpddF5=
sy2KqFekU","https://www.geoguessr.com/challenge/nRpddF5=
sy2KqFekU",No,0,0
"qnYL=
x8IFtLkefvUA","https://www.geoguessr.com/challenge/qnYL=
x8IFtLkefvUA",No,0,0
"sK7THAqApd8=
N2gn8","https://www.geoguessr.com/challenge/sK7THAqApd8=
N2gn8",No,0,0
sK7THAqApd8N2gn8,https://www.geoguessr.com/challenge/sK7THAqApd8N2gn8,No,0,0
sx4LaMmpcq3nzE7z,https://www.geoguessr.com/challenge/sx4LaMmpcq3nzE7z,No,0,0
