file_name,challenge_id,challenge_date,challenge_title,map_name,map_creator,game_settings,time_limit,movement,panning,zooming,position,player_name,round_1_points,round_1_duration,round_1_steps,round_2_points,round_2_duration,round_2_steps,round_3_points,round_3_duration,round_3_steps,round_4_points,round_4_duration,round_4_steps,round_5_points,round_5_duration,round_5_steps,total_points,total_duration,total_steps
dsadasdasf.mhtml,ABRu74IYm3dG6X7K,,,World,GeoGuessrGame settings2 minutes per round,Game settings2 minutes per round,,,,,1,LuckyLuke,3403,00:02:00,46,3818,00:01:43,39,4709,00:01:00,11,4565,00:02:00,30,1646,00:00:18,5,18141,00:07:01,131
dsadasdasf.mhtml,ABRu74IYm3dG6X7K,,,World,GeoGuessrGame settings2 minutes per round,Game settings2 minutes per round,,,,,2,Tomas Rezac,3656,00:02:00,29,1979,00:01:48,50,4848,00:02:00,14,3888,00:01:23,16,3264,00:02:00,42,17635,00:09:11,151
dsadasdasf.mhtml,ABRu74IYm3dG6X7K,,,World,GeoGuessrGame settings2 minutes per round,Game settings2 minutes per round,,,,,3,Dominik Mikuš,4970,00:02:00,49,4561,00:02:00,28,979,00:02:00,20,4614,00:02:00,64,65,00:02:00,49,15189,00:10:00,210
dsadasdasf.mhtml,ABRu74IYm3dG6X7K,,,World,GeoGuessrGame settings2 minutes per round,Game settings2 minutes per round,,,,,4,Daniel Urban,4024,00:02:00,30,2894,00:02:00,36,195,00:01:15,11,3559,00:02:00,65,2305,00:02:00,63,12977,00:09:15,205
dsdaasdas.mhtml,MFh8HxHIRINxZG1Z,,,An Official World,La Ligue Geoguessr Game settingsNo time limit,Game settingsNo time limit,,,,,1,Damdis,5000,00:36:00,1,5000,00:24:14,93,5000,00:23:31,148,4994,00:08:07,53,5000,00:12:26,202,24994,00:44:18,1
dsdaasdas.mhtml,MFh8HxHIRINxZG1Z,,,An Official World,La Ligue Geoguessr Game settingsNo time limit,Game settingsNo time limit,,,,,2,Jan Dočekal,42,00:03:01,31,4918,00:03:30,23,4389,00:01:29,1,4585,00:01:18,1,4869,00:01:12,3,18803,00:10:31,59
dsdaasdas.mhtml,MFh8HxHIRINxZG1Z,,,An Official World,La Ligue Geoguessr Game settingsNo time limit,Game settingsNo time limit,,,,,3,Daniel Urban,108,00:04:21,76,4914,00:09:16,40,4998,00:13:34,81,3444,00:09:11,88,3902,00:03:50,74,17366,00:40:12,359
dsdaasdas.mhtml,MFh8HxHIRINxZG1Z,,,An Official World,La Ligue Geoguessr Game settingsNo time limit,Game settingsNo time limit,,,,,4,LuckyLuke,160,00:01:08,18,4672,00:00:21,0,4041,00:01:20,18,4840,00:00:20,0,725,00:00:18,3,14438,00:03:27,39
dsdaasdas.mhtml,MFh8HxHIRINxZG1Z,,,An Official World,La Ligue Geoguessr Game settingsNo time limit,Game settingsNo time limit,,,,,5,PolarGlacier763,42,00:00:26,3,4563,00:01:17,1,3670,00:01:01,0,4076,00:01:32,0,1795,00:01:08,1,14146,00:05:24,5
sdasda.mhtml,5JWg7mvpxTmRVY6q,,,World,GeoGuessrGame settings2 minutes per round,Game settings2 minutes per round,,,,,1,Dominik Mikuš,4999,00:02:00,11,3946,00:02:00,26,329,00:02:00,25,4514,00:02:00,73,4999,00:02:00,17,18787,00:10:00,152
